name,season_0,season_1,season_2,age_0,age_1,age_2,weight_0,weight_1,weight_2,bmi_0,bmi_1,bmi_2,games_0,games_1,games_2,rush_atts_0,rush_atts_1,rush_atts_2,rush_yds_0,rush_yds_1,rush_yds_2,rush_y/a_0,rush_y/a_1,rush_y/a_2,rush_tds_0,rush_tds_1,rush_tds_2,rush_ypg_0,rush_ypg_1,rush_ypg_2,targets_0,targets_1,targets_2,receptions_0,receptions_1,receptions_2,rec_yards_0,rec_yards_1,rec_yards_2,yards/reception_0,yards/reception_1,yards/reception_2,rec_tds_0,rec_tds_1,rec_tds_2,rec_ypg_0,rec_ypg_1,rec_ypg_2,ctch_pct_0,ctch_pct_1,ctch_pct_2,y/tgt_0,y/tgt_1,y/tgt_2,fumbles_0,fumbles_1,fumbles_2,fumbles_recovered_0,fumbles_recovered_1,fumbles_recovered_2,fum_ret_yds_0,fum_ret_yds_1,fum_ret_yds_2,fum_tds_0,fum_tds_1,fum_tds_2,forced_fumbles_0,forced_fumbles_1,forced_fumbles_2,pro_bowls_0,pro_bowls_1,pro_bowls_2,all_pros_0,all_pros_1,all_pros_2,100yd_gms_0,100yd_gms_1,100yd_gms_2,first_down_ctchs_0,first_down_ctchs_1,first_down_ctchs_2,first_down_ctchpct_0,first_down_ctchpct_1,first_down_ctchpct_2,long_ctch_0,long_ctch_1,long_ctch_2,drops_0,drops_1,drops_2,EYds_0,EYds_1,EYds_2,DVOA_0,DVOA_1,DVOA_2,DYAR_0,DYAR_1,DYAR_2,40 Yard_0,40 Yard_1,40 Yard_2,rookie_age_0,rookie_age_1,rookie_age_2,rookie_season_0,rookie_season_1,rookie_season_2,height_inches_0,height_inches_1,height_inches_2,start_ratio_0,start_ratio_1,start_ratio_2,dpis_drawn_0,dpis_drawn_1,dpis_drawn_2,dpi_yards_0,dpi_yards_1,dpi_yards_2,pct_team_tgts_0,pct_team_tgts_1,pct_team_tgts_2,pct_team_receptions_0,pct_team_receptions_1,pct_team_receptions_2,pct_of_team_passyards_0,pct_of_team_passyards_1,pct_of_team_passyards_2,pct_team_touchdowns_0,pct_team_touchdowns_1,pct_team_touchdowns_2,dropK_0,dropK_1,dropK_2,yacK_0,yacK_1,yacK_2,td_points_0,td_points_1,td_points_2,compilation_0,compilation_1,compilation_2,avg_starts,dpis,dpi_yards,year_1_growth,year_2_growth
Aaron Dobson,2013.0,2014.0,2015.0,22.0,23.0,24.0,210.0,210.0,210.0,26.2,26.2,26.2,12.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,5.0,21.0,37.0,3.0,13.0,519.0,38.0,141.0,14.03,12.67,10.85,4.0,0.0,0.0,43.3,9.5,17.6,0.514,0.6,0.619,7.21,7.6,6.71,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,2.0,9.0,0.676,0.667,0.692,81.0,16.0,24.0,7.0,0.0,1.0,583.0,-0.611246111663,214.0,-0.054,0.461231393263,0.151,0.46,0.562763900395,0.49,0.0,0.0,0.0,22.0,22.0,22.0,2013.0,2013.0,2013.0,75.0,75.0,75.0,0.75,0.25,0.375,5.0,0.0,2.0,81.0,0.0,66.0,0.104196816208,0.00671140939597,0.0288858321871,0.0887290167866,0.00617283950617,0.0283224400871,0.114620141343,0.00749654764253,0.0272148233932,0.153846153846,0.0,0.0,2.07944154168,0.0,0.69314718056,82.5606936416,12.7368421053,10.2411347518,0.332849540396,0.0,0.0,10.5468188228,0.0835629652925,0.96674670131,0.458333333333,7.0,147.0,-2.52764118212,0.476617317222
Ace Sanders,2013.0,2014.0,2015.0,22.0,23.0,24.0,173.0,173.0,173.0,27.1,27.1,27.1,15.0,12.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,87.0,7.0,0.0,51.0,6.0,0.0,484.0,55.0,0.0,9.49,9.17,0.0,1.0,0.0,0.0,32.3,4.6,0.0,0.586,0.857,0.0,5.56,7.86,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.431,0.167,0.0,51.0,24.0,0.0,3.0,1.0,0.0,0.286225085944,-0.576600564117,0.0,0.461231393263,0.461231393263,0.0,0.303693844613,0.501118969165,0.0,0.0,0.0,0.0,22.0,22.0,22.0,2013.0,2013.0,2013.0,67.0,67.0,67.0,0.266666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146959459459,0.0125673249551,0.0,0.146131805158,0.0184615384615,0.0,0.140656785818,0.0183272242586,0.0,0.0625,0.0,0.0,1.38629436112,0.69314718056,0.0,189.688016529,11.3636363636,0.0,0.0338050314465,0.0,0.0,12.428352516,0.229302440482,0.0,0.088888888889,0.0,0.0,-2.94696237704,-0.12374493501
Ben Watson,2013.0,2014.0,2015.0,33.0,34.0,35.0,255.0,255.0,255.0,31.9,31.9,31.9,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,19.0,0.0,0.0,226.0,0.0,0.0,11.89,0.0,0.0,2.0,0.0,0.0,15.1,0.0,0.0,0.633,0.0,0.0,7.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.237969958497,0.0,0.0,0.461231393263,0.0,0.0,0.745177318686,0.0,0.0,0.0,0.0,0.0,33.0,33.0,33.0,2013.0,2013.0,2013.0,75.0,75.0,75.0,0.466666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0414364640884,0.0,0.0,0.0387755102041,0.0,0.0,0.0413313825896,0.0,0.0,0.0487804878049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0527688295751,0.0,0.0,0.0,0.0,0.0,0.155555555556,0.0,0.0,0.0,0.0
Chris Hogan,2013.0,2014.0,2015.0,25.0,26.0,27.0,220.0,220.0,220.0,29.0,29.0,29.0,16.0,16.0,16.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.3,17.0,61.0,59.0,10.0,41.0,36.0,83.0,426.0,450.0,8.3,10.39,12.5,0.0,4.0,2.0,5.2,26.6,28.1,0.588,0.672,0.61,4.88,6.98,7.63,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,18.0,0.4,0.488,0.5,16.0,31.0,46.0,0.0,2.0,4.0,85.0,402.0,358.0,-0.253,-0.081,-0.124,-0.17,0.21,0.01,0.0,0.0,0.0,25.0,25.0,25.0,2013.0,2013.0,2013.0,73.0,73.0,73.0,0.0,0.125,0.25,0.0,1.0,0.0,0.0,5.0,0.0,0.0325670498084,0.105354058722,0.12688172043,0.0334448160535,0.112947658402,0.122033898305,0.0267483080889,0.117874930825,0.134609632067,0.0,0.173913043478,0.0869565217391,0.0,1.09861228867,1.60943791243,10.843373494,91.1009389671,26.4022222222,0.0,0.376264697839,0.0940661744599,0.327132283924,10.8050013474,10.6230248409,0.125,1.0,5.0,2.53117133961,-0.0982051081719
Cordarrelle Patterson,2013.0,2014.0,2015.0,22.0,23.0,24.0,216.0,216.0,216.0,27.7,27.7,27.7,16.0,16.0,16.0,12.0,10.0,2.0,158.0,117.0,15.0,13.17,11.7,7.5,3.0,1.0,0.0,9.9,7.3,0.9,77.0,67.0,2.0,45.0,33.0,2.0,469.0,384.0,10.0,10.42,11.64,5.0,4.0,1.0,0.0,29.3,24.0,0.6,0.584,0.493,1.0,6.09,5.73,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,20.0,1.0,0.422,0.606,0.5,79.0,28.0,9.0,3.0,2.0,0.0,511.0,329.0,-0.667260763953,-0.12,-0.25,0.47734873955,0.04,-0.64,0.474608868361,4.42,4.42,0.0,22.0,22.0,22.0,2013.0,2013.0,2013.0,74.0,74.0,74.0,0.375,0.4375,0.0625,4.0,2.0,0.0,119.0,41.0,0.0,0.141025641026,0.129593810445,0.00418410041841,0.138461538462,0.10248447205,0.0064308681672,0.136854391596,0.118372379778,0.00327546675401,0.222222222222,0.0588235294118,0.0,1.38629436112,1.09861228867,0.0,180.556503198,71.7604166667,0.9,0.841369671558,0.06363300037,0.0,19.5824195375,7.73554083114,0.0635902986346,0.291666666667,6.0,160.0,-2.8618872467,-4.1402307714
Da'Rick Rogers,2013.0,2014.0,2015.0,22.0,23.0,24.0,216.0,216.0,216.0,27.7,27.7,27.7,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,14.0,0.0,0.0,192.0,0.0,0.0,13.71,0.0,0.0,2.0,0.0,0.0,38.4,0.0,0.0,0.609,0.0,0.0,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.643,0.0,0.0,69.0,0.0,0.0,1.0,0.0,0.0,-0.296792826402,0.0,0.0,0.461231393263,0.0,0.0,1.33364911953,0.0,0.0,0.0,0.0,0.0,22.0,22.0,22.0,2013.0,2013.0,2013.0,74.0,74.0,74.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0344311377246,0.0,0.0,0.0350877192982,0.0,0.0,0.0428762840554,0.0,0.0,0.0689655172414,0.0,0.0,0.69314718056,0.0,0.0,72.5208333333,0.0,0.0,0.0746042073303,0.0,0.0,2.28928220181,0.0,0.0,0.2,0.0,0.0,-0.553029004505,0.0
Darius Johnson,2013.0,2014.0,2015.0,22.0,23.0,24.0,175.0,175.0,175.0,25.1,25.1,25.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,22.0,0.0,0.0,210.0,0.0,0.0,9.55,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,0.512,0.0,0.0,4.88,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.545,0.0,0.0,17.0,0.0,0.0,3.0,0.0,0.0,214.0,0.0,0.0,-0.246,0.0,0.0,-0.4,0.0,0.0,4.6,0.0,0.0,22.0,22.0,22.0,2013.0,2013.0,2013.0,70.0,70.0,70.0,0.2,0.0,0.0,2.0,0.0,0.0,38.0,0.0,0.0,0.0652503793627,0.0,0.0,0.0494382022472,0.0,0.0,0.0494932830544,0.0,0.0,0.0384615384615,0.0,0.0,1.38629436112,0.0,0.0,38.5714285714,0.0,0.0,0.0208030962748,0.0,0.0,1.75436344416,0.0,0.0,0.0666666666667,2.0,38.0,-0.423807020513,0.0
David Johnson,2013.0,2014.0,2015.0,26.0,27.0,28.0,270.0,270.0,270.0,34.7,34.7,34.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,70.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.667,0.0,0.0,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.75,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,-0.545287895502,0.0,0.0,0.461231393263,0.0,0.0,0.792370744682,0.0,0.0,0.0,0.0,0.0,26.0,26.0,26.0,2013.0,2013.0,2013.0,74.0,74.0,74.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0102389078498,0.0,0.0,0.0106100795756,0.0,0.0,0.017425939756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.315609670479,0.0,0.0,0.133333333333,0.0,0.0,-0.0762428073477,0.0
DeAndre Hopkins,2013.0,2014.0,2015.0,21.0,22.0,23.0,214.0,214.0,214.0,28.2,28.2,28.2,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,127.0,192.0,52.0,76.0,111.0,802.0,1210.0,1521.0,15.42,15.92,13.7,2.0,6.0,11.0,50.1,75.6,95.1,0.571,0.598,0.578,8.81,9.53,7.92,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,6.0,38.0,57.0,83.0,0.731,0.75,0.748,66.0,76.0,61.0,2.0,4.0,3.0,783.0,1.79000965963,2.43910867581,0.069,0.103,0.048,1.39,2.37,2.68,4.57,4.57,4.57,21.0,21.0,21.0,2013.0,2013.0,2013.0,73.0,73.0,73.0,1.0,1.0,1.0,1.0,2.0,5.0,32.0,26.0,77.0,0.143759873618,0.261855670103,0.294027565084,0.140161725067,0.257627118644,0.297587131367,0.210333071073,0.360978520286,0.385551330798,0.105263157895,0.272727272727,0.379310344828,1.09861228867,1.60943791243,1.38629436112,43.602244389,123.776033058,19.6771860618,0.11386957961,0.885077186963,2.25677727174,21.2969002832,86.8872064319,92.3522611206,1.0,8.0,135.0,15.8448537651,2.94926140278
DeVier Posey,2013.0,2014.0,2015.0,24.0,25.0,26.0,211.0,211.0,211.0,27.8,27.8,27.8,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,15.0,1.0,0.0,155.0,30.0,0.0,10.33,30.0,0.0,0.0,0.0,0.0,11.1,30.0,0.0,0.6,1.0,0.0,6.2,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.333,1.0,0.0,42.0,30.0,0.0,0.0,0.0,0.0,92.0,-0.626777286027,0.0,-0.337,0.461231393263,0.0,-0.38,0.619907202829,0.0,4.39,0.0,0.0,24.0,24.0,24.0,2013.0,2013.0,2013.0,73.0,73.0,73.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0394944707741,0.0020618556701,0.0,0.0404312668464,0.00338983050847,0.0,0.0406504065041,0.00894988066826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2516129032,0.533333333333,0.0,0.0,0.0,0.0,0.648287883261,0.118002831692,0.0,0.333333333333,0.0,0.0,-0.128102605237,-0.0636811920013
Denard Robinson,2013.0,2014.0,2015.0,23.0,24.0,25.0,199.0,199.0,199.0,27.8,27.8,27.8,16.0,13.0,13.0,20.0,135.0,67.0,66.0,582.0,266.0,3.3,4.31,3.97,0.0,4.0,1.0,4.1,44.8,20.5,1.0,31.0,30.0,0.0,23.0,21.0,0.0,124.0,164.0,0.0,5.39,7.81,0.0,0.0,0.0,0.0,9.5,12.6,0.0,0.742,0.7,0.0,4.0,5.47,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.261,0.381,0.0,19.0,16.0,1.0,2.0,3.0,-0.690060442626,-0.436162505349,-0.354599883392,-2.00944370441,0.461231393263,0.461231393263,0.174985661099,0.0112508621129,0.336697145039,0.0,0.0,0.0,23.0,23.0,23.0,2013.0,2013.0,2013.0,71.0,71.0,71.0,0.0,0.692307692308,0.230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.00168918918919,0.0556552962298,0.0494233937397,0.0,0.0707692307692,0.0591549295775,0.0,0.0413195601466,0.0399221032132,0.0,0.0,0.0,0.69314718056,1.09861228867,1.38629436112,0.0,335.612903226,142.737804878,0.0,0.0,0.0,0.0,3.60794141557,2.19001308897,0.307692307692,0.0,0.0,0.871581602211,-0.765196603467
Dion Sims,2013.0,2014.0,2015.0,22.0,23.0,24.0,262.0,262.0,262.0,31.1,31.1,31.1,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,36.0,0.0,6.0,24.0,0.0,32.0,284.0,0.0,5.33,11.83,0.0,1.0,2.0,0.0,2.1,20.3,0.0,0.6,0.667,0.0,3.2,7.89,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.5,0.542,0.0,8.0,38.0,0.0,2.0,1.0,0.0,-0.623514241136,-0.107899596675,0.0,0.461231393263,0.461231393263,0.0,0.460622466884,1.62816546792,0.0,0.0,0.0,0.0,22.0,22.0,22.0,2013.0,2013.0,2013.0,77.0,77.0,77.0,0.333333333333,0.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016835016835,0.0605042016807,0.0,0.0168067226891,0.0609137055838,0.0,0.008971124194,0.0761598283722,0.0,0.0416666666667,0.0740740740741,0.0,1.09861228867,0.69314718056,0.0,2.0,48.2007042254,0.0,0.022536687631,0.0801304449103,0.0,0.327312032105,4.91508932211,0.0,0.15873015873,0.0,0.0,1.10828359456,-2.65246810044
